Etc/UTC,Open,High,Low,Close,Volume
2026-06-12T18:35:00+00:00,4227.128,4227.228,4225.128,4226.128,297720
2026-06-12T18:40:00+00:00,4226.228,4229.728,4225.725,4229.028,330200
2026-06-12T18:45:00+00:00,4228.928,4228.928,4222.405,4222.628,326370
2026-06-12T18:50:00+00:00,4222.615,4223.015,4220.335,4221.745,152130
2026-06-12T18:55:00+00:00,4221.745,4222.115,4213.815,4215.378,442200
2026-06-12T19:00:00+00:00,4215.428,4218.235,4213.985,4217.425,241510
2026-06-12T19:05:00+00:00,4217.465,4219.028,4215.185,4217.365,136730
2026-06-12T19:10:00+00:00,4217.415,4218.615,4216.025,4217.198,260700
2026-06-12T19:15:00+00:00,4217.195,4217.235,4213.305,4214.905,139800
2026-06-12T19:20:00+00:00,4214.795,4214.935,4209.905,4210.105,116880
2026-06-12T19:25:00+00:00,4210.035,4211.215,4207.585,4208.248,199230
2026-06-12T19:30:00+00:00,4208.248,4209.965,4203.685,4203.995,224010
2026-06-12T19:35:00+00:00,4204.015,4208.325,4201.535,4205.045,216090
2026-06-12T19:40:00+00:00,4205.085,4207.195,4204.215,4204.885,183240
2026-06-12T19:45:00+00:00,4204.835,4207.845,4203.445,4206.725,234990
2026-06-12T19:50:00+00:00,4206.865,4208.005,4205.545,4206.555,206040
2026-06-12T19:55:00+00:00,4206.505,4211.028,4205.328,4210.425,263720
2026-06-12T20:00:00+00:00,4210.435,4211.655,4209.285,4210.795,187580
2026-06-12T20:05:00+00:00,4210.795,4211.885,4209.415,4210.755,100580
2026-06-12T20:10:00+00:00,4210.715,4213.315,4210.425,4212.255,72600
2026-06-12T20:15:00+00:00,4212.255,4214.098,4212.015,4214.098,62730
2026-06-12T20:20:00+00:00,4214.108,4216.615,4213.815,4213.898,69930
2026-06-12T20:25:00+00:00,4213.885,4214.815,4213.298,4214.098,46500
2026-06-12T20:30:00+00:00,4214.185,4214.185,4212.235,4213.405,75990
2026-06-12T20:35:00+00:00,4213.405,4214.118,4212.225,4213.615,62880
2026-06-12T20:40:00+00:00,4213.705,4213.705,4212.555,4213.385,65610
2026-06-12T20:45:00+00:00,4213.498,4214.898,4212.298,4214.598,47400
2026-06-12T20:50:00+00:00,4214.535,4217.398,4214.535,4216.398,70180
2026-06-12T20:55:00+00:00,4216.505,4218.998,4215.598,4217.765,46560
